Time,Voltage
2.24E-02,10.4
2.24E-02,10.4
2.24E-02,9.8
2.24E-02,10.2
2.24E-02,9.6
2.24E-02,10.4
2.24E-02,9.8
2.25E-02,9.8
2.25E-02,9.8
2.25E-02,10.2
2.25E-02,10.2
2.25E-02,10
2.25E-02,9.6
2.25E-02,10.4
2.25E-02,9.6
2.25E-02,9.8
2.25E-02,10
2.25E-02,10.2
2.25E-02,9.8
2.25E-02,10.4
2.25E-02,9.8
2.25E-02,9.8
2.25E-02,10
2.25E-02,10.4
2.25E-02,10
2.25E-02,9.8
2.25E-02,9.6
2.25E-02,10.2
2.25E-02,9.6
2.25E-02,10.4
2.25E-02,9.8
2.25E-02,10.4
2.26E-02,10.8
2.26E-02,10.2
2.26E-02,10.2
2.26E-02,10.4
2.26E-02,10.2
2.26E-02,10
2.26E-02,10.2
2.26E-02,9.8
2.26E-02,10.2
2.26E-02,9.8
2.26E-02,10.2
2.26E-02,10.2
2.26E-02,10.2
2.26E-02,10
2.26E-02,10.6
2.26E-02,10.6
2.26E-02,10.2
2.26E-02,10.2
2.26E-02,10
2.26E-02,10.4
2.26E-02,10
2.26E-02,10.2
2.26E-02,10
2.26E-02,9.8
2.26E-02,10
2.27E-02,10.4
2.27E-02,10.4
2.27E-02,9.6
2.27E-02,10.2
2.27E-02,10.2
2.27E-02,10
2.27E-02,9.8
2.27E-02,10
2.27E-02,10.6
2.27E-02,10.2
2.27E-02,9.6
2.27E-02,10.2
2.27E-02,9.6
2.27E-02,10
2.27E-02,9.8
2.27E-02,9.8
2.27E-02,9.8
2.27E-02,10
2.27E-02,10
2.27E-02,10
2.27E-02,9.8
2.27E-02,10
2.27E-02,10.6
2.27E-02,10
2.27E-02,9.8
2.28E-02,10
2.28E-02,9.6
2.28E-02,10.2
2.28E-02,10
2.28E-02,10.2
2.28E-02,10
2.28E-02,10.2
2.28E-02,10
2.28E-02,9.8
2.28E-02,9.8
2.28E-02,10
2.28E-02,10.6
2.28E-02,10
2.28E-02,9.8
2.28E-02,10.4
2.28E-02,10
2.28E-02,10
2.28E-02,10.4
2.28E-02,10.6
2.28E-02,10.2
2.28E-02,10.2
2.28E-02,9.8
2.28E-02,10.4
2.28E-02,9.6
2.28E-02,10
2.29E-02,9.6
2.29E-02,10.2
2.29E-02,10.6
2.29E-02,9.6
2.29E-02,10.4
2.29E-02,10
2.29E-02,10.4
2.29E-02,10.2
2.29E-02,10.4
2.29E-02,10.2
2.29E-02,10.4
2.29E-02,10.2
